date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,TotalConfCases,TotalCured,TotalDeaths,TotalSerious,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
06.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,207,NA,,,,2.42261E-05,,,,,,,,,
07.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,262,NA,,,,5.48891E-05,,,,,,,,,
08.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,331,NA,,,,9.36275E-05,,,,,,,,,
09.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,372,NA,,,,0.000137164,,,,,,,,,
10.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,490,NA,,,,0.000194511,,,,,,,,,
11.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,638,NA,,,,0.000269179,,,,,,,,,
12.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,851,NA,,,,0.000368775,,,,,,,,,
13.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,1120,NA,,,,0.000499854,,,,,,,,,
14.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,1353,1188,,,,0.000658201,3.04289E-06,,,,,,,,
15.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,2100,,,,,0.000903973,,,,,,,,,
16.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,2200,,4,14,0,0.001161449,,,,,,,,,
17.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,2269,,4,19,0,0.001427,,,,,,,,,
18.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,3028,,4,35,0,0.00178138,,,,,,,,,
19.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,3888,,,39,0,0.002236409,,,,,,,,,
20.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,4222,,15,43,0,0.002730528,,,,,,,,,
