date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,posPer100k,TotalConfCases,TotalCured,TotalDeaths,Hospitalisations,SortisDeHôpital,,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
28.02.20,AG,678207,482,17.70%,120043,1450,0.00213799,,1,0.147447608,,,,,,,1.47448E-06,,,BS: neue fälle,,,,,,
29.02.20,AG,678207,482,17.70%,120043,1450,0.00213799,,1,0.147447608,,,,,,,1.47448E-06,,,AG: total,,,,,,
01.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,1,0.147447608,,,,,,,1.47448E-06,,,,,,,,,
02.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,2,0.294895216,,,,,,,2.94895E-06,,,,,,,,,
03.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,6,0.884685649,,,,,,,8.84686E-06,,,,,,,,,
04.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,7,1.032133257,,,,,,,1.03213E-05,,,,,,,,,
05.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,9,1.327028474,,,,,,,1.32703E-05,,,,,,,,,
06.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,10,1.474476082,NA,,,,,,1.47448E-05,,,,,,,,,
07.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,2.064266515,NA,2,,,,,2.06427E-05,,,,,,,,,
08.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,2.064266515,NA,,,,,,2.06427E-05,,,,,,,,,
09.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,2.064266515,NA,,,,,,2.06427E-05,,,,,,,,,
10.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,15,2.211714123,NA,,,,,,2.21171E-05,,,,,,,,,
11.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,17,2.506609339,NA,,,,,,2.50661E-05,,,,,,,,,
12.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,27,3.981085421,NA,3,,,,,3.98109E-05,,,,,,,,,
13.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,32,4.718323462,NA,3,,,,,4.71832E-05,,,,,,,,,
14.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,31,4.570875854,26,,,,,,4.57088E-05,3.83364E-05,,,,,,,,
15.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,43,6.340247152,,3,,,,,6.34025E-05,,,,,,,,,
16.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,52,7.667275625,,4,,,,,7.66728E-05,,,,,,,,,
17.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,67,9.878989748,,4,,,,,9.87899E-05,,,,,,,,,
18.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,101,14.89220843,,4,,,,,0.000148922,,,,,,,,,
19.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,118,17.39881777,,,,,,,0.000173988,,,,,,,,,
20.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,168,24.77119817,,,,,,,0.000247712,,,,,,,,,
21.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,175,25.80333143,,,,,,,0.000258033,,,,,,,,,
22.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,217,31.99613097,,,,,,,0.000319961,,,,,,,,,
23.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,241,35.53487357,,1,,,,,0.000355349,,,,,,,,,
24.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,266,39.22106378,,2,,,,,0.000392211,,,,,,,,,
25.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,319,47.03578701,,2,,,,,0.000470358,,,,,,,,,
06.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
07.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
08.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
09.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
10.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
11.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
12.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
13.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,NA,,,,,,0,,,,,,,,,
14.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,12.38773614,0,,,,,,0.000123877,0,,,,,,,,
15.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,12.38773614,,,,,,,0.000123877,,,,,,,,,
16.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,12.38773614,,,,,,,0.000123877,,,,,,,,,
17.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,12.38773614,,,,,,,0.000123877,,,,,,,,,
18.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,18.58160421,,,,,,,0.000185816,,,,,,,,,
19.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,18.58160421,,,,,,,0.000185816,,,,,,,,,
20.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,18.58160421,,,,,,,0.000185816,,,,,,,,,
21.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,18.58160421,,,,,,,0.000185816,,,,,,,,,
22.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,18.58160421,,,,,,,0.000185816,,,,,,,,,
23.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,4,24.77547228,,,,,,,0.000247755,,,,,,,,,
24.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,4,24.77547228,,,,,,,0.000247755,,,,,,,,,
06.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,1.810479053,NA,,,,,,1.81048E-05,,,,,,,,,
07.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,1.810479053,NA,,,,,,1.81048E-05,,,,,,,,,
08.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,1.810479053,NA,,,,,,1.81048E-05,,,,,,,,,
