date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,TotalConfCases,TotalCured,TotalDeaths,,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
06.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,10,NA,,,,1.47448E-05,,,,,,,,,
07.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,NA,,,,3.53874E-05,,,,,,,,,
08.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,NA,,,,5.60301E-05,,,,,,,,,
09.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,NA,,,,7.66728E-05,,,,,,,,,
10.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,15,NA,,,,9.87899E-05,,,,,,,,,
11.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,17,NA,,,,0.000123856,,,,,,,,,
12.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,22,NA,,,,0.000156294,,,,,,,,,
13.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,28,NA,,,,0.00019758,,,,,,,,,
14.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,31,26,,,,0.000243289,3.83364E-05,,,,,,,,
06.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
07.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
08.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
09.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
10.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
11.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
12.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
13.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
14.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,0,,,,0,0,,,,,,,,
06.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,NA,,,,1.81048E-05,,,,,,,,,
07.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,NA,,,,3.62096E-05,,,,,,,,,
08.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,NA,,,,5.43144E-05,,,,,,,,,
09.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,9.0524E-05,,,,,,,,,
10.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,0.000126734,,,,,,,,,
11.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,0.000162943,,,,,,,,,
12.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,0.000199153,,,,,,,,,
13.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,5,NA,,,,0.000289677,,,,,,,,,
14.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,5,3,,,,0.000380201,5.43144E-05,,,,,,,,
06.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,20,NA,,,,1.93241E-05,,,,,,,,,
07.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,25,NA,,,,4.34792E-05,,,,,,,,,
08.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,31,NA,,,,7.34316E-05,,,,,,,,,
09.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,34,NA,,,,0.000106283,,,,,,,,,
10.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,39,NA,,,,0.000143965,,,,,,,,,
11.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,41,NA,,,,0.000183579,,,,,,,,,
